,Group,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Z5,ZTH,23.365,58.317,292.007,131.077,131.425,955.667,2578.518,949.032,149.459,1318.324
Z6,ZTH,22.188,59.751,335.248,85.809,503.759,694.198,3594.945,607.284,148.818,812.064
Z7,ZTH,20.764,58.855,373.262,66.498,406.634,586.763,4359.759,673.433,224.746,857.125
Z8,ZTH,22.099,65.869,239.673,130.912,281.029,794.352,3771.487,543.177,145.27,651.673
Z9,ZTH,22.092,64.571,267.259,169.297,187.063,897.238,3125.985,520.358,127.535,862.115
Z10,ZTH,27.104,61.781,286.774,89.375,111.16,530.29,2768.528,520.482,109.831,472.993
Z11,ZTH,23.474,61.217,318.842,84.742,275.642,665.798,3881.199,727.816,175.135,856.218
Z12,ZTH,23.04,64.019,469.701,97.217,285.709,621.174,3632.53,881.07,223.991,1187.439
Z13,ZTH,20.479,59.773,475.036,70.959,262.06,487.395,4094.845,899.804,270.608,1121.237
Z14,ZTH,22.615,65.682,336.165,145.533,380.688,686.552,3757.939,637.362,206.93,894.52
Z15,ZTH,37.924,60.722,270.773,182.202,380.9,782.658,3734.843,687.193,209.277,807.664
Z16,ZTH,42.062,56.096,326.653,139.375,536.922,594.552,4373.622,740.119,215.687,902.143
Z17,ZTH,20.785,62.03,441.687,95.465,691.526,529.507,3796.231,889.405,252.088,1147.387
Z18,ZTH,19.163,60.875,389.704,77.433,300.886,406.188,3500.526,802.36,213.351,905.346
Z19,ZTH,48.337,51.832,442.642,59.949,222.497,1200.569,3695.111,961.207,240.543,1250.512
Z20,ZTH,49.219,51.274,202.799,42.582,82.798,463.358,2098.576,398.927,56.177,313.954
Z21,ZTH,49.081,49.327,252.659,73.035,551.606,718.09,3308.365,549.792,138.717,653.9
